ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4EB4675E448B48313,2020-03-12 00:00:00,001,颗粒物,11.58,20,,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:11.23,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4EB4675E448B48313,2020-03-12 00:00:00,002,二氧化硫,8.62,80,,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:11.23,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4EB4675E448B48313,2020-03-12 00:00:00,003,氮氧化物,174.51,250,,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:11.23,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4EB4675E448B48313,2020-03-12 00:00:00,004,一氧化碳,22.37,80,,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:11.23,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4EB4675E448B48313,2020-03-12 00:00:00,008,氯化氢,12.9,50,,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:11.23,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F426A291B6E9D227E0,2020-03-12 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F426A291B6E9D227E0,2020-03-12 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F426A291B6E9D227E0,2020-03-12 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F426A291B6E9D227E0,2020-03-12 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F426A291B6E9D227E0,2020-03-12 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4B579788F086BA3D5,2020-03-12 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4B579788F086BA3D5,2020-03-12 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4B579788F086BA3D5,2020-03-12 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4B579788F086BA3D5,2020-03-12 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
8F3EAC9171F405F4F63552351D74351D,8F3EAC9171F405F4B579788F086BA3D5,2020-03-12 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2020-03-13T09:40:09.057,2020-03-13T09:40:09.057,20200312
